published_date,txt_cases,txt_cases_admitted_icu,txt_cases_cork,txt_cases_cork_pct,txt_cases_dublin,txt_cases_dublin_pct,txt_cases_healthcare_workers,txt_cases_healthcare_workers_pct,txt_cases_hospitalised,txt_cases_hospitalised_pct,txt_cases_median_age,txt_close_contact_pct,txt_clusters,txt_clusters_cases,txt_clusters_residential_care,txt_clusters_residential_care_nursing_homes,txt_community_transmission_pct,txt_deaths,txt_deaths_median_age,txt_deaths_residential_care,txt_deaths_residential_care_nursing_homes,txt_female_pct,txt_male_pct,txt_new_cases,txt_new_cases_germany,txt_new_deaths,txt_new_deaths_east,txt_new_deaths_females,txt_new_deaths_males,txt_new_deaths_median_age,txt_new_deaths_northwest,txt_new_deaths_south,txt_new_deaths_underlying,txt_new_deaths_west,txt_tests,txt_travel_abroad_pct,txt_growth_rate
"at: <time datetime=""2020-04-11T16:49",8928.0,253.0,581.0,0.08,4156.0,0.53,2141.0,,1718.0,0.22,48.0,0.26,356.0,1626.0,,,0.66,320.0,,,,0.54,0.45,553.0,286.0,33.0,30.0,,,82.0,,,,,,0.08,0.06602985074626866
"at: <time datetime=""2020-04-12T17:06",9655.0,261.0,648.0,0.08,4514.0,0.53,2312.0,,1777.0,0.21,48.0,0.26,383.0,1653.0,,,0.66,334.0,,,,0.54,0.45,430.0,297.0,14.0,12.0,,,80.0,,,,,,0.07,0.046612466124661245
"at: <time datetime=""2020-04-13T16:46",10647.0,268.0,730.0,0.08,5006.0,0.53,2489.0,,1849.0,0.2,48.0,0.27,401.0,1795.0,,,0.66,365.0,,,,0.54,0.45,,465.0,31.0,26.0,18.0,13.0,82.0,3.0,1.0,,1.0,,0.07,
"at: <time datetime=""2020-04-14T16:41",11479.0,275.0,780.0,0.08,5438.0,0.52,2707.0,,1903.0,0.18,48.0,,408.0,1999.0,,,,406.0,,,,,,548.0,284.0,41.0,36.0,,,85.0,,1.0,,,,,0.05013265026072637
"at: <time datetime=""2020-04-15T17:04",12547.0,280.0,829.0,0.07,5850.0,0.52,2872.0,,1968.0,0.18,48.0,0.42,413.0,2244.0,,,0.52,444.0,,,,,,657.0,411.0,38.0,29.0,,,84.0,,3.0,,,,0.06,0.055256518082422205
"at: <time datetime=""2020-04-16T18:16",13271.0,284.0,916.0,0.07,6337.0,0.51,3090.0,,2026.0,0.16,48.0,0.43,425.0,2451.0,,,0.51,486.0,,,,,,629.0,95.0,43.0,34.0,,,84.0,,5.0,,,,0.06,0.049754785635184304
"at: <time datetime=""2020-04-17T17:05",13980.0,294.0,945.0,0.07,6567.0,0.51,3347.0,,2082.0,0.16,48.0,0.42,436.0,2723.0,,,0.53,530.0,,,,0.55,0.44,597.0,112.0,44.0,33.0,19.0,25.0,84.0,3.0,3.0,,5.0,,0.05,0.04460883210042591
"at: <time datetime=""2020-04-18T17:05",14758.0,296.0,979.0,0.07,6934.0,0.5,3573.0,,2168.0,0.16,48.0,0.43,454.0,2964.0,,,0.52,571.0,,,,0.55,0.44,630.0,148.0,41.0,35.0,23.0,18.0,83.0,,,,,,0.05,0.04459229898074745
"at: <time datetime=""2020-04-19T16:35",15251.0,303.0,1028.0,0.07,7379.0,0.51,3788.0,,2223.0,0.15,48.0,0.32,,,,,0.63,610.0,,,,,,445.0,48.0,39.0,37.0,19.0,20.0,84.0,,,,,,0.05,0.03005538295285695
"at: <time datetime=""2020-04-20T16:46",15652.0,306.0,1047.0,0.07,7666.0,0.51,4009.0,,2272.0,0.15,48.0,0.34,478.0,3139.0,,,0.62,687.0,,,,,,401.0,,77.0,67.0,,,84.0,,2.0,,,,0.04,0.026293357812602454
"at: <time datetime=""2020-04-21T18:08",16040.0,315.0,1053.0,0.07,7781.0,0.5,4180.0,,2323.0,0.15,48.0,0.35,491.0,3447.0,,,0.6,730.0,,,,,,388.0,,44.0,37.0,,,87.0,,3.0,,,,0.05,0.024789164324048044
"at: <time datetime=""2020-04-22T16:45",16671.0,322.0,1077.0,0.07,7905.0,0.5,4393.0,,2387.0,0.15,48.0,0.35,,,302.0,179.0,0.61,769.0,,412.0,348.0,,,,,49.0,,,,,,,,,,0.04,
"at: <time datetime=""2020-04-23T16:59",17607.0,331.0,1087.0,0.07,8216.0,0.5,4545.0,,2424.0,0.15,48.0,0.44,,,,,0.52,794.0,,,,,,,,28.0,,,,,,,,,,0.04,
"at: <time datetime=""2020-04-24T16:27",18184.0,338.0,1096.0,0.06,8729.0,0.5,4713.0,,2486.0,0.14,49.0,0.47,,,,,0.49,1014.0,,,,,,,,,,,,,,,,,,0.04,
"at: <time datetime=""2020-04-25T16:30",18561.0,344.0,1103.0,0.06,9010.0,0.5,4847.0,,2536.0,0.14,49.0,0.48,,,,,0.48,1063.0,,,,,,,,,,,,,,,,,,0.04,
"at: <time datetime=""2020-04-26T16:36",19262.0,349.0,1110.0,0.06,9224.0,0.5,5064.0,,2576.0,0.14,49.0,0.33,,,,,0.63,1087.0,,,,,,,,,,,,,,,,,,0.04,
"at: <time datetime=""2020-04-27T17:33",19648.0,353.0,,,,,5204.0,,2625.0,0.14,49.0,0.33,,,,,0.63,1102.0,,,,,,,,,,,,,,,,,,0.04,
"at: <time datetime=""2020-04-28T16:34",19877.0,358.0,,,,,5414.0,,2638.0,0.14,49.0,0.33,,,,,0.63,1159.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-04-29T19:00",20253.0,355.0,,,,,5568.0,,2669.0,0.13,49.0,0.34,,,,,0.63,1190.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-04-30T16:09",20612.0,360.0,,,,,5684.0,,2706.0,0.13,49.0,0.33,,,,,0.63,1232.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-01T15:22",20833.0,367.0,,,,,5840.0,,2768.0,0.13,49.0,0.33,,,,,0.63,1265.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-02T15:49",21176.0,368.0,,,,,5973.0,,2785.0,0.13,49.0,0.34,,,,,0.63,1286.0,,,,,,,,,,,,,,,,,,0.03,
